iter	Passed	Remaining
0	193	96652
1	222	55323
2	253	42039
3	277	34352
4	297	29406
5	334	27554
6	363	25608
7	384	23676
8	405	22118
9	457	22419
10	489	21755
11	510	20755
12	532	19949
13	556	19316
14	581	18805
15	602	18227
16	623	17719
17	645	17297
18	667	16887
19	687	16490
20	708	16151
21	726	15787
22	736	15284
23	757	15014
24	781	14844
25	801	14613
26	821	14398
27	898	15140
28	934	15179
29	958	15009
30	1034	15643
31	1068	15632
32	1098	15538
33	1116	15303
34	1139	15133
35	1158	14929
36	1171	14662
37	1193	14508
38	1212	14328
39	1232	14177
40	1250	13997
41	1261	13760
42	1280	13613
43	1302	13495
44	1325	13398
45	1351	13343
46	1376	13270
47	1387	13067
48	1405	12940
49	1415	12741
50	1442	12701
51	1469	12659
52	1501	12666
53	1523	12581
54	1561	12631
55	1570	12449
56	1589	12355
57	1610	12273
58	1629	12181
59	1654	12131
60	1674	12054
61	1694	11973
62	1702	11810
63	1716	11693
64	1739	11642
65	1747	11494
66	1822	11780
67	1839	11683
68	1875	11712
69	1895	11643
70	1981	11972
71	1991	11840
72	2012	11773
73	2034	11712
74	2055	11645
75	2077	11588
76	2097	11521
77	2117	11455
78	2138	11395
79	2148	11280
80	2171	11233
81	2191	11172
82	2212	11117
83	2223	11012
84	2230	10891
85	2251	10837
86	2273	10791
87	2283	10692
88	2304	10641
89	2327	10603
90	2341	10522
91	2355	10445
92	2378	10410
93	2399	10363
94	2419	10316
95	2442	10278
96	2463	10236
97	2487	10201
98	2509	10164
99	2578	10315
100	2607	10301
101	2629	10261
102	2651	10218
103	2673	10178
104	2690	10120
105	2710	10075
106	2734	10042
107	2761	10021
108	2775	9954
109	2801	9931
110	2821	9889
111	2845	9858
112	2855	9780
113	2877	9744
114	2895	9692
115	2915	9652
116	2927	9583
117	2957	9572
118	2984	9556
119	3007	9523
120	3026	9479
121	3046	9439
122	3067	9401
123	3089	9367
124	3124	9374
125	3166	9400
126	3227	9479
127	3245	9433
128	3256	9366
129	3282	9343
130	3295	9281
131	3315	9243
132	3323	9171
133	3343	9131
134	3363	9093
135	3384	9058
136	3398	9005
137	3420	8973
138	3484	9049
139	3513	9033
140	3534	8999
141	3543	8934
142	3554	8873
143	3569	8823
144	3589	8787
145	3612	8758
146	3633	8725
147	3646	8671
148	3667	8639
149	3693	8617
150	3703	8558
151	3717	8510
152	3742	8487
153	3751	8429
154	3771	8395
155	3795	8368
156	3817	8340
157	3849	8331
158	3879	8320
159	3904	8296
160	3928	8271
161	3951	8243
162	3974	8216
163	3997	8189
164	4020	8162
165	4045	8139
166	4066	8109
167	4083	8069
168	4104	8039
169	4129	8016
170	4142	7970
171	4164	7940
172	4176	7893
173	4198	7866
174	4218	7835
175	4235	7796
176	4259	7773
177	4280	7742
178	4306	7723
179	4335	7707
180	4361	7687
181	4379	7652
182	4395	7613
183	4414	7582
184	4431	7545
185	4453	7518
186	4464	7473
187	4483	7440
188	4504	7412
189	4526	7385
190	4548	7357
191	4560	7316
192	4582	7288
193	4603	7261
194	4623	7232
195	4646	7206
196	4667	7178
197	4688	7151
198	4709	7123
199	4730	7095
200	4753	7070
201	4780	7051
202	4808	7034
203	4829	7007
204	4849	6979
205	4869	6949
206	4891	6923
207	4912	6895
208	4932	6868
209	4954	6842
210	4985	6828
211	5017	6816
212	5043	6795
213	5065	6769
214	5087	6744
215	5108	6717
216	5128	6688
217	5148	6660
218	5167	6630
219	5190	6606
220	5215	6584
221	5242	6564
222	5267	6543
223	5289	6517
224	5310	6490
225	5335	6468
226	5355	6440
227	5375	6412
228	5395	6385
229	5418	6361
230	5439	6333
231	5460	6308
232	5481	6280
233	5501	6253
234	5521	6226
235	5543	6201
236	5563	6174
237	5586	6149
238	5607	6124
239	5627	6096
240	5673	6097
241	5712	6089
242	5741	6072
243	5763	6046
244	5783	6019
245	5803	5991
246	5826	5967
247	5849	5944
248	5870	5917
249	5891	5891
250	5912	5865
251	5933	5839
252	5954	5813
253	5976	5788
254	5998	5762
255	6028	5745
256	6054	5724
257	6093	5715
258	6131	5705
259	6173	5698
260	6201	5678
261	6222	5652
262	6244	5627
263	6266	5602
264	6290	5578
265	6313	5553
266	6335	5528
267	6358	5504
268	6387	5485
269	6411	5461
270	6439	5441
271	6461	5416
272	6483	5390
273	6547	5400
274	6584	5387
275	6613	5367
276	6666	5367
277	6688	5341
278	6711	5316
279	6738	5294
280	6760	5268
281	6783	5244
282	6850	5253
283	6884	5235
284	6907	5211
285	6928	5183
286	6952	5160
287	6977	5135
288	7000	5111
289	7023	5085
290	7075	5082
291	7100	5057
292	7126	5034
293	7150	5010
294	7175	4986
295	7197	4960
296	7220	4934
297	7246	4912
298	7269	4887
299	7293	4862
300	7314	4835
301	7336	4809
302	7357	4783
303	7382	4759
304	7404	4734
305	7424	4707
306	7449	4683
307	7478	4661
308	7498	4634
309	7519	4608
310	7547	4586
311	7573	4563
312	7595	4538
313	7617	4512
314	7641	4487
315	7664	4462
316	7693	4441
317	7715	4415
318	7804	4428
319	7837	4408
320	7860	4383
321	7885	4359
322	7913	4336
323	7940	4313
324	7962	4287
325	7985	4261
326	8008	4236
327	8030	4211
328	8096	4208
329	8128	4187
330	8151	4162
331	8173	4135
332	8196	4110
333	8219	4085
334	8240	4058
335	8260	4031
336	8287	4008
337	8308	3982
338	8368	3974
339	8400	3953
340	8427	3929
341	8447	3902
342	8468	3876
343	8488	3849
344	8511	3823
345	8530	3796
346	8554	3771
347	8582	3748
348	8608	3724
349	8630	3698
350	8650	3672
351	8671	3645
352	8693	3620
353	8715	3594
354	8739	3569
355	8767	3546
356	8790	3521
357	8810	3494
358	8832	3468
359	8853	3442
360	8872	3416
361	8893	3390
362	8915	3364
363	8935	3338
364	8957	3313
365	8978	3287
366	8999	3261
367	9020	3235
368	9040	3209
369	9061	3183
370	9082	3158
371	9124	3139
372	9145	3113
373	9168	3088
374	9191	3063
375	9219	3040
376	9244	3016
377	9265	2990
378	9290	2966
379	9311	2940
380	9333	2915
381	9358	2890
382	9380	2865
383	9402	2840
384	9425	2815
385	9446	2789
386	9468	2764
387	9490	2739
388	9512	2714
389	9535	2689
390	9557	2664
391	9580	2639
392	9603	2614
393	9624	2589
394	9649	2565
395	9676	2541
396	9696	2515
397	9720	2491
398	9742	2466
399	9763	2440
400	9784	2415
401	9811	2391
402	9833	2366
403	9854	2341
404	9873	2316
